epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4249,1.5191,3.04791,1.18204,0.38352,0.41751,0.36274,0.20849,1.33567,1.04844,1.10242,0.000219968,0.000219968,0.000219968
2,83.7058,1.29275,1.04739,1.07862,0.48467,0.41133,0.40959,0.24311,1.29196,0.99489,1.0947,0.000398514,0.000398514,0.000398514
3,123.197,1.26963,0.97573,1.07565,0.63407,0.35721,0.41498,0.24305,1.28501,0.96938,1.10304,0.000533037,0.000533037,0.000533037
4,162.516,1.23759,0.90675,1.06465,0.55616,0.49328,0.52509,0.32157,1.21453,0.8649,1.07027,0.000468901,0.000468901,0.000468901
5,201.828,1.18399,0.83531,1.04339,0.59872,0.56654,0.57941,0.361,1.1713,0.80184,1.04816,0.000402868,0.000402868,0.000402868
6,241.118,1.1388,0.78699,1.02448,0.6081,0.58816,0.6121,0.38442,1.15413,0.77463,1.03839,0.000336835,0.000336835,0.000336835
7,280.436,1.09439,0.73631,1.00392,0.66023,0.60167,0.64846,0.41893,1.11486,0.73524,1.02669,0.000270802,0.000270802,0.000270802
8,319.699,1.06052,0.70284,0.99269,0.72141,0.60289,0.67719,0.43985,1.09252,0.71851,1.01757,0.000204769,0.000204769,0.000204769
9,358.977,1.01706,0.66143,0.97313,0.70462,0.65255,0.70716,0.4706,1.04944,0.67657,1.00205,0.000138736,0.000138736,0.000138736
10,398.25,0.98353,0.63373,0.96133,0.74588,0.65856,0.72756,0.488,1.029,0.65397,0.98664,7.2703e-05,7.2703e-05,7.2703e-05
